0x40 {}
0x41 {120}
0x42 {86}
0x43 {53,53}
0x44 {120}
0x45 {8,8}
0x46 {55,55}
0x47 {120,12,1}
0x49 {55,55}
0x4a {56,56}
0x4b {35,3,3}
0x4c {17,17}
0x4d {28,28,3}
0x4e {120,3,3}
0x4f {14,14,1,1}
0x51 {56,56}
0x52 {13,13}
0x53 {120,7,4}
0x55 {120,12,2}
0x56 {98,5,2}
0x57 {35,35,2,2}
0x59 {86,10,3}
0x5b {56,56,2,2}
0x5d {21,21,2,2}
0x5e {5,5,2,2}
0x5f {120,6,1,1,1}
0x61 {5,5}
0x63 {98,12,1}
0x65 {120,14,3}
0x67 {7,7,1,1}
0x6b {55,55,2,2}
0x6d {2,2,2,2}
0x6f {86,7,1,1,1}
0x73 {8,8,1,1}
0x77 {120,12,1,1,1}
0x7f {1,1,1,1,1,1}
