0x80 {}
0x81 {55}
0x82 {22}
0x83 {119,119}
0x84 {209}
0x85 {34,34}
0x86 {85,85}
0x87 {209,15,1}
0x88 {4}
0x89 {119,119}
0x8a {6,6}
0x8b {7,7,7}
0x8c {119,119}
0x8d {43,26,5}
0x8e {247,13,6}
0x8f {76,76,1,1}
0x91 {52,52}
0x92 {97,97}
0x93 {55,17,4}
0x94 {22,22}
0x95 {247,5,5}
0x96 {247,8,3}
0x97 {119,119,3,3}
0x99 {209,22,3}
0x9a {55,9,5}
0x9b {118,118,4,4}
0x9c {9,9,9}
0x9d {34,34,4,4}
0x9e {116,116,3,3}
0x9f {77,19,1,1,1}
0xa1 {119,119}
0xa2 {4,4}
0xa3 {209,11,5}
0xa5 {13,6,4}
0xa6 {247,15,6}
0xa7 {118,118,4,4}
0xa9 {209,11,3}
0xaa {2,2,2}
0xab {85,85,2,2}
0xad {116,116,2,2}
0xae {119,119,2,2}
0xaf {247,5,2,2,1}
0xb1 {247,12,4}
0xb3 {48,48,3,3}
0xb5 {27,27,2,2}
0xb6 {10,10,2,2}
0xb7 {22,12,6,2,1}
0xb9 {22,22,3,3}
0xbb {77,3,3,2,1}
0xbd {77,8,5,2,1}
0xbe {13,13,2,2,1}
0xbf {119,119,1,1,1,1}
0xc1 {6,6}
0xc3 {247,19,1}
0xc5 {77,25,4}
0xc7 {85,85,1,1}
0xc9 {22,22,3}
0xcb {116,116,3,3}
0xcd {119,119,2,2}
0xcf {43,26,1,1,1}
0xd3 {119,119,3,3}
0xd5 {16,16,2,2}
0xd7 {209,4,4,2,1}
0xdb {34,2,2,2,1}
0xdd {7,2,2,2,1}
0xdf {118,118,1,1,1,1}
0xe3 {4,4,1,1}
0xe7 {247,19,1,1,1}
0xeb {9,9,9,2,1}
0xef {97,97,1,1,1,1}
0xf7 {12,12,1,1,1,1}
0xff {1,1,1,1,1,1,1}
