0x100 {}
0x101 {64}
0x102 {456}
0x103 {245,245}
0x104 {12}
0x105 {76,76}
0x106 {243,243}
0x107 {96,96,1}
0x108 {502}
0x109 {75,75}
0x10a {42,42}
0x10b {64,17,8}
0x10c {201,201}
0x10d {502,20,6}
0x10e {177,19,7}
0x10f {246,246,1,1}
0x111 {208,208}
0x112 {177,177}
0x113 {54,18,7}
0x114 {246,246}
0x115 {372,28,6}
0x116 {502,11,9}
0x117 {243,243,4,4}
0x118 {31,31}
0x119 {502,52,4}
0x11a {54,18,6}
0x11b {21,21,5,5}
0x11c {372,19,8}
0x11d {245,245,6,6}
0x11e {208,208,4,4}
0x11f {456,20,1,1,1}
0x121 {245,245}
0x122 {246,246}
0x123 {372,20,4}
0x124 {3,3}
0x125 {64,16,3}
0x126 {146,146,3}
0x127 {208,208,4,4}
0x129 {456,10,8}
0x12a {96,16,2}
0x12b {47,47,3,3}
0x12c {502,27,3}
0x12d {54,54,3,3}
0x12e {245,245,5,5}
0x12f {502,20,8,3,1}
0x131 {177,25,11}
0x132 {64,8,5}
0x133 {76,76,6,6}
0x135 {243,243,4,4}
0x136 {33,33,3,3}
0x137 {502,4,4,4,1}
0x139 {6,6,6,6}
0x13a {115,115,3,3}
0x13b {502,32,7,3,1}
0x13c {8,8,8,8}
0x13d {5,5,5,5,1}
0x13e {502,10,9,3,1}
0x13f {177,177,1,1,1,1}
0x141 {54,54}
0x142 {19,19}
0x143 {502,10,10}
0x145 {146,146,4}
0x146 {372,10,4}
0x147 {245,245,4,4}
0x149 {54,6,6}
0x14a {502,30,2}
0x14b {246,246,3,3}
0x14d {111,111,5,5}
0x14e {76,76,3,3}
0x14f {75,11,9,4,1}
0x151 {502,27,7}
0x153 {51,51,7,7}
0x155 {208,208,2,2}
0x156 {245,245,2,2}
0x157 {502,36,2,2,2}
0x159 {245,245,3,3}
0x15a {21,21,2,2}
0x15b {502,18,5,2,2}
0x15d {372,5,5,2,2}
0x15e {502,17,2,2,2}
0x15f {208,208,2,2,1,1}
0x161 {54,54,10}
0x163 {76,76,4,4}
0x165 {33,33,3,3}
0x166 {6,6,6,6}
0x167 {502,48,8,3,1}
0x169 {42,42,4,4}
0x16b {372,19,6,2,2}
0x16d {502,2,2,2,2}
0x16e {54,54,6,2,2}
0x16f {115,115,5,5,1,1}
0x171 {75,75,7,7}
0x173 {19,3,3,3,1}
0x175 {456,26,4,2,2}
0x177 {12,12,3,3,1,1}
0x179 {372,16,7,3,1}
0x17b {61,61,3,3,1,1}
0x17d {246,246,5,5,1,1}
0x17e {15,15,2,2,1,1}
0x17f {456,42,1,1,1,1,1}
0x181 {7,7}
0x183 {146,146,1}
0x185 {96,16,13}
0x187 {21,21,1,1}
0x189 {502,35,9}
0x18b {177,177,7,7}
0x18d {208,208,2,2}
0x18f {502,20,1,1,1}
0x193 {246,246,5,5}
0x195 {245,245,3,3}
0x197 {372,34,7,3,1}
0x199 {3,3,3,3}
0x19b {12,12,12,2,1}
0x19d {502,6,6,2,1}
0x19f {19,19,1,1,1,1}
0x1a3 {115,115,4,4}
0x1a5 {8,8,8,8}
0x1a7 {502,20,7,3,1}
0x1ab {54,18,7,2,2}
0x1ad {502,2,2,2,2}
0x1af {54,54,4,4,1,1}
0x1b3 {177,5,5,2,1}
0x1b7 {201,201,2,2,1,1}
0x1bb {246,246,2,2,1,1}
0x1bd {51,51,2,2,1,1}
0x1bf {502,46,1,1,1,1,1}
0x1c3 {12,12,1,1}
0x1c7 {502,30,1,1,1}
0x1cb {456,3,3,3,1}
0x1cf {245,245,1,1,1,1}
0x1d7 {246,246,5,5,1,1}
0x1db {27,27,2,2,1,1}
0x1df {372,25,1,1,1,1,1}
0x1e7 {15,15,1,1,1,1}
0x1ef {54,54,1,1,1,1,1}
0x1ff {1,1,1,1,1,1,1,1}
