0x1000 {}
0x10d5 {204,204,25,8,8}
0x10d6 {2622,36,14,7,5}
0x10d7 {442,442,11,11,4,4}
0x10d8 {498,498,10,10}
0x10d9 {7892,27,12,7,7}
0x10da {6128,121,16,16,7}
0x10db {3543,3543,21,21,2,2}
0x10dc {7988,45,15,8,5}
0x10dd {497,497,26,26,2,2}
0x10de {3797,3797,8,8,5,5}
0x10df {8178,152,23,6,1,1,1}
0x10e1 {50,50,10,10}
0x10e2 {359,359,12,12}
0x10e3 {8178,175,19,11,1}
0x10e4 {442,442,8,8}
0x10e5 {6128,114,48,8,7}
0x10e6 {8178,18,18,10,8}
0x10e7 {1847,1847,20,20,1,1}
0x10e8 {4079,4079,13,13}
0x10e9 {7988,228,22,7,7}
0x10ea {7148,117,23,7,2}
0x10eb {1010,1010,32,32,6,6}
0x10ec {92,92,9,9,5}
0x10ed {1289,1289,7,7,2,2}
0x10ee {302,302,8,8,3,3}
0x10ef {8178,166,38,12,1,1,1}
0x10f0 {20,20,20,20}
0x10f1 {8178,41,30,10,1}
0x10f2 {7988,80,14,10,5}
0x10f3 {1257,1257,10,10,1,1}
0x10f4 {7652,59,8,8,8}
0x10f5 {47,47,7,7,4,4}
0x10f6 {1723,1723,24,24,6,6}
0x10f7 {113,113,12,12,1,1,1}
0x10f8 {8178,112,16,5,1}
0x10f9 {1007,1007,21,21,1,1}
0x10fa {260,260,5,5,2,2}
0x10fb {7148,192,30,14,1,1,1}
0x10fc {421,421,9,9,1,1}
0x10fd {8178,94,32,12,1,1,1}
0x10fe {254,254,11,9,1,1,1}
0x10ff {3924,3924,1,1,1,1,1,1}
0x1101 {302,302}
0x1102 {4081,4081}
0x1103 {452,452,17}
0x1104 {1352,1352}
0x1105 {7988,144,24}
0x1106 {6128,70,25}
0x1107 {3543,3543,8,8}
0x1108 {59,59}
0x1109 {7988,146,26}
0x110a {7148,135,42}
0x110b {498,498,19,19}
0x110c {8178,155,16}
0x110d {4081,4081,10,10}
0x110e {3924,3924,19,19}
0x110f {3053,117,29,12,1}
0x1111 {2622,150,4}
0x1112 {8178,119,27}
0x1113 {3053,3053,17,17}
0x1114 {6128,60,16}
0x1115 {4082,4082,16,16}
0x1116 {3543,3543,24,24}
0x1117 {2622,59,11,4,4}
0x1118 {7652,68,4}
0x1119 {279,279,4,4}
0x111a {89,89,19,19}
0x111b {8178,110,32,12,4}
0x111c {1257,1257,18,18}
0x111d {638,638,21,21,4}
0x111e {8178,41,30,4,4}
0x111f {4082,4082,28,28,1,1}
0x1121 {8178,74,35}
0x1122 {1892,1892,12}
0x1123 {26,26,26,26}
0x1124 {2374,116,3}
0x1125 {47,47,8,8}
0x1126 {442,442,11,11}
0x1127 {1765,49,15,4,4}
0x1128 {7988,190,17}
0x1129 {113,113,17,17}
0x112a {1847,1847,9,9}
0x112b {6128,210,24,10,8}
0x112c {2654,2654,15,15}
0x112d {8178,75,49,16,3}
0x112e {8178,7,7,7,7}
0x112f {4081,4081,13,13,4,4}
0x1131 {3557,3557,18,18}
0x1132 {3924,3924,25,25}
0x1133 {302,302,18,12,4}
0x1134 {111,111,20,20}
0x1135 {1568,225,16,4,4}
0x1136 {1082,63,23,10,3}
0x1137 {1010,1010,4,4,4,4}
0x1138 {4082,4082,19,19}
0x1139 {638,106,20,6,4}
0x113a {2374,105,34,12,4}
0x113b {1003,1003,7,7,4,4}
0x113c {8178,122,34,8,7}
0x113d {242,242,5,5,5,5}
0x113e {29,29,9,9,9,9}
0x113f {8178,76,38,10,1,1,1}
0x1141 {302,302,17}
0x1142 {7892,168,27}
0x1143 {111,111,20,20}
0x1144 {8178,299,24}
0x1145 {498,498,14,14}
0x1146 {4081,4081,17,17}
0x1147 {6128,202,20,4,4}
0x1149 {3053,3053,16,16}
0x114a {4082,4082,31,31}
0x114b {8178,228,24,8,6}
0x114c {71,71,12,12}
0x114d {8178,47,28,9,5}
0x114e {407,87,31,10,4}
0x114f {242,242,24,24,4,4}
0x1151 {260,260,25,25}
0x1152 {1007,1007,24,24}
0x1153 {7148,52,17,8,7}
0x1154 {4082,4082,22,22}
0x1155 {6128,42,26,14,2}
0x1156 {7148,41,32,12,2}
0x1157 {3797,3797,16,16,2,2}
0x1158 {3557,3557,16,16}
0x1159 {8178,247,38,7,4}
0x115a {514,514,25,6,2}
0x115b {1289,1289,12,12,5,5}
0x115c {1892,127,9,8,4}
0x115d {667,667,21,21,4,4}
0x115e {242,242,9,9,2,2}
0x115f {8178,136,27,5,2,2,1}
0x1161 {4079,4079,9,9}
0x1162 {15,15,8,8}
0x1163 {6128,118,38,10,4}
0x1164 {749,749,7,7}
0x1165 {7652,106,22,11,4}
0x1166 {8178,126,10,6,6}
0x1167 {4082,4082,27,27,4,4}
0x1168 {50,50,50,50}
0x1169 {92,92,17,8,4}
0x116a {6128,133,37,7,2}
0x116b {3893,3893,23,23,4,4}
0x116c {2622,104,42,13,3}
0x116d {80,80,21,21,2,2}
0x116e {491,491,6,6,6,6}
0x116f {638,77,20,11,7,4,1}
0x1171 {3053,105,28,6,6}
0x1172 {7988,15,11,6,4}
0x1173 {442,442,16,16,3,3}
0x1174 {7148,182,30,7,6}
0x1175 {1177,1177,11,11,4,4}
0x1176 {1010,1010,18,18,6,6}
0x1177 {8178,142,28,12,5,3,1}
0x1178 {1289,51,15,4,4}
0x1179 {4082,4082,14,14,4,4}
0x117a {3797,3797,16,16,2,2}
0x117b {8178,46,20,9,6,3,1}
0x117c {242,242,22,22,6,6}
0x117d {8178,118,24,5,5,5,1}
0x117e {514,514,22,11,2,2,1}
0x117f {407,407,27,27,1,1,1,1}
0x1181 {2374,30,26}
0x1182 {8178,14,10}
0x1183 {1010,1010,14,14}
0x1184 {6128,87,28}
0x1185 {3893,3893,16,16}
0x1186 {3242,3242,7,7}
0x1187 {2542,2542,34,9,1}
0x1189 {1352,1352,24,24}
0x118a {113,113,26,26}
0x118b {1765,147,9,7,7}
0x118c {104,104,28,28}
0x118d {3053,99,17,9,5}
0x118e {2622,146,15,15,7}
0x118f {1351,1351,13,13,1,1}
0x1191 {155,155,5,5}
0x1192 {4082,4082,12,12}
0x1193 {8178,154,17,5,5}
0x1194 {3893,3893,22,22}
0x1195 {8178,16,16,5,5}
0x1196 {6128,81,23,14,4}
0x1197 {498,498,5,5,5,5}
0x1198 {47,47,4,4}
0x1199 {7892,184,4,4,3}
0x119a {1130,44,6,6,4}
0x119b {3797,3797,27,27,4,4}
0x119c {876,876,15,15,4}
0x119d {3924,3924,6,6,4,4}
0x119e {4079,4079,20,20,4,4}
0x119f {1892,202,43,5,1,1,1}
0x11a1 {3924,3924,20,20}
0x11a2 {395,395,9,9}
0x11a3 {8178,164,28,8,4}
0x11a4 {3924,3924,8,8}
0x11a5 {2374,94,37,8,5}
0x11a6 {92,92,13,13,4}
0x11a7 {749,749,12,12,4,4}
0x11a9 {6128,10,10,10,6}
0x11aa {8178,159,34,7,2}
0x11ab {572,572,7,7,4,4}
0x11ac {8178,90,30,4,4}
0x11ad {407,407,9,9,2,2}
0x11ae {302,302,24,24,4,4}
0x11af {2622,97,34,4,4,4,1}
0x11b1 {2622,94,13,12,5}
0x11b2 {113,113,17,11,8}
0x11b3 {279,279,15,15,5,5}
0x11b4 {917,45,7,7,3}
0x11b5 {1010,1010,8,8,2,2}
0x11b6 {4081,4081,15,15,2,2}
0x11b7 {8178,37,30,5,5,2,1}
0x11b8 {8178,27,27,9,4}
0x11b9 {1257,1257,26,26,4,4}
0x11ba {442,442,5,5,4,4}
0x11bb {1772,135,10,10,4,2,1}
0x11bc {1007,1007,12,12,5,5}
0x11bd {7652,99,36,6,5,2,1}
0x11be {8178,74,21,7,7,5,1}
0x11bf {498,498,24,24,1,1,1,1}
0x11c1 {4081,4081,13,13}
0x11c2 {1010,1010,10,10}
0x11c3 {8178,226,36,11,1}
0x11c4 {827,827,11,11}
0x11c5 {1892,1892,32,9,4}
0x11c6 {8178,8,8,8,4}
0x11c7 {50,50,23,23,1,1}
0x11c9 {7652,42,20,5,5}
0x11ca {8178,45,11,6,6}
0x11cb {1007,1007,14,14,3,3}
0x11cc {3053,39,15,10,4}
0x11cd {498,498,6,6,5,5}
0x11ce {4081,4081,18,18,3,3}
0x11cf {204,204,25,11,1,1,1}
0x11d1 {8178,249,46,5,5}
0x11d2 {2374,187,17,10,8}
0x11d3 {50,50,5,5,3,3}
0x11d4 {8178,224,7,7,6}
0x11d5 {2031,2031,6,6,4,4}
0x11d6 {1352,1352,6,6,4,4}
0x11d7 {197,37,9,5,5,4,1}
0x11d9 {1289,1289,15,15,4,4}
0x11da {127,127,6,6,5,5}
0x11db {8178,66,20,12,4,2,1}
0x11dc {1352,1352,9,9,4,4}
0x11dd {8178,280,42,8,4,2,1}
0x11de {1940,114,9,6,6,3,1}
0x11df {3893,3893,21,21,1,1,1,1}
0x11e1 {6128,118,22,9,1}
0x11e2 {452,72,17,4,4}
0x11e3 {421,421,8,8,1,1}
0x11e4 {2542,2542,17,4,4}
0x11e5 {1352,1352,18,18,4,4}
0x11e6 {359,359,19,19,4,4}
0x11e7 {7988,296,12,4,1,1,1}
0x11e9 {4079,4079,19,19,5,5}
0x11ea {3924,3924,21,21,2,2}
0x11eb {7988,126,5,5,5,4,1}
0x11ec {4081,4081,4,4,4,4}
0x11ed {7988,158,33,9,5,2,1}
0x11ee {2374,196,23,12,6,3,1}
0x11ef {1010,1010,12,12,1,1,1,1}
0x11f1 {242,242,10,10,1,1}
0x11f2 {4081,4081,16,16,4,4}
0x11f3 {1511,43,20,9,1,1,1}
0x11f4 {2654,2654,18,18,4,4}
0x11f5 {7148,234,24,4,4,4,1}
0x11f6 {8178,46,20,14,6,4,1}
0x11f7 {2027,2027,17,17,1,1,1,1}
0x11f8 {119,119,22,22,1,1}
0x11f9 {7148,83,16,6,1,1,1}
0x11fa {6128,198,26,9,2,2,1}
0x11fb {17,17,7,7,1,1,1,1}
0x11fc {8178,80,24,7,1,1,1}
0x11fd {425,425,14,14,1,1,1,1}
0x11fe {498,498,21,21,1,1,1,1}
0x11ff {7892,79,1,1,1,1,1,1,1}
0x1201 {1177,1177}
0x1202 {1352,1352}
0x1203 {3053,9,9}
0x1204 {47,47}
0x1205 {8178,32,26}
0x1206 {204,204,25}
0x1207 {4082,4082,18,18}
0x1209 {8178,203,25}
0x120a {1892,82,29}
0x120b {667,667,20,20}
0x120c {302,302,37}
0x120d {2654,2654,6,6}
0x120e {1289,1289,26,26}
0x120f {8178,179,28,10,1}
0x1211 {6128,88,19}
0x1212 {8178,56,37}
0x1213 {242,242,20,20}
0x1214 {8178,180,19}
0x1215 {1351,1351,8,8}
0x1216 {71,71,11,11}
0x1217 {2622,83,20,10,5}
0x1219 {4082,4082,16,16}
0x121a {279,279,16,16}
0x121b {57,57,6,6,6}
0x121c {4082,4082,15,15}
0x121d {7892,36,15,8,6}
0x121e {8178,18,18,11,5}
0x121f {917,917,21,21,1,1}
0x1221 {302,302,20}
0x1222 {2374,48,24}
0x1223 {1289,1289,28,28}
0x1224 {1568,225,3}
0x1225 {242,242,21,21}
0x1226 {359,359,18,18}
0x1227 {6128,165,20,4,4}
0x1229 {359,359,7,7}
0x122a {3242,3242,14,14}
0x122b {8178,142,7,7,7}
0x122c {4081,4081,20,20}
0x122d {1130,98,18,6,3}
0x122e {6128,154,6,6,6}
0x122f {498,498,11,11,4,4}
0x1231 {50,50,11,11}
0x1232 {3053,3053,20,20}
0x1233 {2622,105,32,6,6}
0x1234 {4082,4082,27,27}
0x1235 {344,344,21,15,7}
0x1236 {8178,122,30,6,3}
0x1237 {3543,3543,16,16,4,4}
0x1239 {7652,184,9,6,6}
0x123a {2542,2542,22,11,7}
0x123b {1010,1010,16,16,4,4}
0x123c {113,113,35,4,4}
0x123d {4081,4081,8,8,4,4}
0x123e {3924,3924,12,12,4,4}
0x123f {8178,106,23,11,1,1,1}
0x1241 {8178,115,10}
0x1242 {3053,247,24}
0x1243 {498,498,6,6}
0x1245 {917,917,29,29}
0x1246 {242,242,12,12}
0x1247 {1765,25,25,10,4}
0x1249 {3924,3924,3,3}
0x124a {3557,3557,26,26}
0x124b {254,254,31,3,3}
0x124c {173,173,3,3}
0x124d {8178,166,3,3,3}
0x124e {8178,66,29,3,3}
0x124f {2031,2031,23,23,3,3}
0x1251 {4079,4079,14,14}
0x1252 {3924,3924,19,19}
0x1253 {7652,100,29,11,4}
0x1254 {4081,4081,31,31}
0x1255 {638,23,18,5,4}
0x1256 {7988,164,20,13,3}
0x1257 {89,89,22,22,3,3}
0x1259 {1892,1892,23,15,3}
0x125a {8178,52,17,5,3}
