0x2000 {}
0x2001 {11797}
0x2002 {240}
0x2003 {8177,8177}
0x2004 {5101}
0x2005 {8174,8174}
0x2006 {6127,6127}
0x2007 {1691,1691,1}
0x2008 {172}
0x2009 {7891,7891}
0x200a {106,106}
0x200b {14315,218,13}
0x200c {8177,8177}
0x200d {14315,209,46}
0x200e {15827,131,14}
0x200f {2032,2032,1,1}
0x2010 {5447}
0x2011 {7860,7860}
0x2012 {8177,8177}
0x2013 {241,241,18}
0x2014 {6118,6118}
0x2015 {16369,210,33}
0x2016 {14315,146,16}
0x2017 {91,91,22,22}
0x2018 {2541,2541}
0x2019 {5447,136,29}
0x201a {1519,246,20}
0x201b {1350,1350,26,26}
0x201c {16369,173,48}
0x201d {112,112,21,21}
0x201e {7860,7860,25,25}
0x201f {5447,240,1,1,1}
0x2020 {240}
0x2021 {1081,1081}
0x2022 {16,16}
0x2023 {14315,51,16}
0x2024 {7987,7987}
0x2025 {11797,165,28}
0x2026 {5101,5101,16}
0x2027 {462,462,17,17}
0x2028 {110,110}
0x2029 {16369,370,25}
0x202a {240,24,2}
0x202b {1939,1939,16,16}
0x202c {1519,107,43}
0x202d {112,112,10,10}
0x202e {7147,7147,32,32}
0x202f {16369,173,46,18,1}
0x2030 {6127,6127}
0x2031 {13321,58,42}
0x2032 {5447,189,16}
0x2033 {616,616,17,17}
0x2034 {1939,82,28}
0x2035 {2653,2653,25,25}
0x2036 {8174,8174,20,20}
0x2037 {1006,230,20,15,1}
0x2038 {5101,225,24}
0x2039 {826,826,27,27}
0x203a {7147,7147,11,11}
0x203b {5341,39,29,10,1}
0x203c {8176,8176,17,17}
0x203d {16369,222,17,10,1}
0x203e {11797,237,42,13,1}
0x203f {2621,2621,1,1,1,1}
0x2040 {7}
0x2041 {8174,8174}
0x2042 {8177,8177}
0x2043 {367,43,13}
0x2044 {7860,7860}
0x2045 {196,196,15}
0x2046 {14315,283,52}
0x2047 {253,253,29,29}
0x2048 {7651,7651}
0x2049 {2032,140,26}
0x204a {5341,163,12}
0x204b {1008,1008,13,13}
0x204c {5341,48,40}
0x204d {8177,8177,22,22}
0x204e {2590,2590,10,10}
0x204f {15827,99,34,14,1}
0x2050 {8174,8174}
0x2051 {854,62,30}
0x2052 {4081,225,32}
0x2053 {203,203,24,24}
0x2054 {16369,191,34}
0x2055 {2032,2032,23,23}
0x2056 {7987,7987,31,31}
0x2057 {16369,105,29,13,2}
0x2058 {14315,193,37}
0x2059 {8177,8177,37,37}
0x205a {496,496,12,12}
0x205b {241,156,47,13,10}
0x205c {406,406,10,10}
0x205d {16369,161,44,11,10}
0x205e {16369,12,12,12,2}
0x205f {1002,1002,13,13,1,1}
0x2060 {1567,1567}
0x2061 {15827,247,53}
0x2062 {14315,241,16}
0x2063 {1510,1510,16,16}
0x2064 {241,241,11}
0x2065 {7147,7147,28,28}
0x2066 {7860,7860,25,25}
0x2067 {16369,49,25,12,1}
0x2068 {1939,58,14}
0x2069 {1008,1008,23,23}
0x206a {6127,6127,18,18}
0x206b {5447,270,10,10,8}
0x206c {4074,4074,29,29}
0x206d {1351,27,27,2,2}
0x206e {301,26,16,10,10}
0x206f {8177,8177,26,26,1,1}
0x2070 {113,113,113}
0x2071 {6127,6127,31,31}
0x2072 {7126,7126,26,26}
0x2073 {15827,67,31,13,1}
0x2074 {637,637,19,19}
0x2075 {16369,319,29,14,9}
