0x400 {}
0x401 {1522}
0x402 {2036}
0x403 {857,857}
0x404 {1942}
0x405 {1012,1012}
0x406 {199,199}
0x407 {640,25,1}
0x408 {1522}
0x409 {1011,1011}
0x40a {1012,1012}
0x40b {2036,89,10}
0x40c {497,497}
0x40d {1774,22,22}
0x40e {94,94,11}
0x40f {115,115,1,1}
0x410 {584}
0x411 {304,304}
0x412 {193,193}
0x413 {1522,32,12}
0x414 {640,640}
0x415 {2036,57,12}
0x416 {2036,60,13}
0x417 {1011,1011,12,12}
0x418 {1011,1011}
0x419 {108,108,13}
0x41a {361,17,14}
0x41b {878,878,14,14}
0x41c {1942,60,23}
0x41d {109,109,8,8}
0x41e {330,330,13,13}
0x41f {1894,80,1,1,1}
0x421 {857,857}
0x422 {244,244}
0x423 {2036,43,19}
0x424 {1011,1011}
0x425 {751,17,17}
0x426 {268,40,14}
0x427 {330,330,9,9}
0x428 {94,94}
0x429 {1942,17,10}
0x42a {584,72,2}
0x42b {751,751,17,17}
0x42c {1522,84,19}
0x42d {199,199,7,7}
0x42e {237,237,11,11}
0x42f {624,624,17,5,1}
0x430 {49,49}
0x431 {2036,98,5}
0x432 {2036,54,18}
0x433 {20,20,20,20}
0x434 {1894,84,15}
0x435 {1011,1011,10,10}
0x436 {1012,1012,13,13}
0x437 {31,31,6,6,1}
0x438 {2036,54,20}
0x439 {244,244,9,9}
0x43a {115,115,9,9}
0x43b {1894,80,18,6,1}
0x43c {878,878,14,14}
0x43d {2036,60,21,6,1}
0x43e {1522,44,22,5,1}
0x43f {497,497,1,1,1,1}
0x441 {330,330}
0x442 {919,919}
0x443 {1774,25,19}
0x444 {330,330}
0x445 {1774,20,12}
0x446 {2036,58,13}
0x447 {241,241,5,5}
0x448 {45,45}
0x449 {454,24,22}
0x44a {2036,32,15}
0x44b {1012,1012,10,10}
0x44c {624,624,4}
0x44d {1011,1011,12,12}
0x44e {115,115,7,7}
0x44f {2036,14,11,4,1}
0x451 {1894,58,10}
0x452 {52,52,17}
0x453 {299,299,11,11}
0x454 {2036,61,11}
0x455 {640,640,11,11}
0x456 {1009,1009,6,6}
0x457 {1942,27,12,4,2}
0x458 {2036,15,11}
0x459 {497,497,15,15}
0x45a {1012,1012,9,9}
0x45b {751,63,19,6,5}
0x45c {751,751,7,7}
0x45d {640,79,8,6,4}
0x45e {1774,9,9,6,2}
0x45f {878,878,10,10,1,1}
0x461 {78,78,16}
0x462 {1894,8,8}
0x463 {244,244,8,8}
0x464 {199,39,13}
0x465 {1009,1009,6,6}
0x466 {878,878,9,9}
0x467 {2036,48,24,5,1}
0x469 {1012,1012,11,11}
0x46a {361,361,7,7}
0x46b {1774,22,18,4,4}
0x46c {20,20,20,20}
0x46d {454,454,14,2,2}
0x46e {1942,62,13,5,4}
0x46f {115,115,5,5,1,1}
0x471 {73,73,7,7}
0x472 {59,59,8,8}
0x473 {2036,46,9,9,1}
0x474 {329,329,9,9}
0x475 {2036,48,6,4,4}
0x476 {1522,18,15,6,6}
0x477 {304,304,10,10,1,1}
0x478 {40,40,9,9}
0x479 {1774,111,14,6,1}
0x47a {2036,38,17,4,2}
0x47b {109,109,5,5,1,1}
0x47c {423,27,15,4,1}
0x47d {330,330,6,6,1,1}
0x47e {135,135,12,12,1,1}
0x47f {208,50,1,1,1,1,1}
0x481 {919,919}
0x482 {878,878}
0x483 {208,30,7}
0x484 {37,37}
0x485 {1894,81,10}
0x486 {2036,60,24}
0x487 {878,878,12,12}
0x489 {2036,36,20}
0x48a {454,454,9}
0x48b {1009,1009,10,10}
0x48c {1774,30,17}
0x48d {115,115,7,7}
0x48e {1011,1011,7,7}
0x48f {423,13,13,8,1}
0x491 {52,52,13}
0x492 {2036,38,3}
0x493 {1012,1012,4,4}
0x494 {2036,62,3}
0x495 {129,129,5,5}
0x496 {19,19,3,3}
0x497 {1942,75,15,3,3}
0x499 {330,330,9,9}
0x49a {857,857,13,13}
0x49b {78,78,20,4,3}
0x49c {1012,1012,11,11}
0x49d {2036,58,9,7,3}
0x49e {2036,45,20,3,3}
0x49f {751,751,19,19,1,1}
0x4a1 {1774,16,16}
0x4a2 {2036,38,17}
0x4a3 {919,919,6,6}
0x4a5 {1012,1012,14,14}
0x4a6 {497,497,12,12}
0x4a7 {361,57,13,6,6}
0x4a9 {73,73,7,7}
0x4aa {304,304,2,2}
0x4ab {59,59,6,3,2}
0x4ac {115,115,6,6}
0x4ad {2036,75,12,5,3}
0x4ae {1522,18,18,8,2}
0x4af {330,330,5,5,2,2}
0x4b1 {1012,1012,8,8}
0x4b2 {175,175,5,5}
0x4b3 {1894,30,17,3,3}
0x4b4 {34,34,3,3}
0x4b5 {1522,54,17,9,3}
0x4b6 {206,206,3,3,3}
0x4b7 {157,157,9,9,3,3}
0x4b9 {2036,54,10,3,3}
0x4ba {2036,5,5,5,2}
0x4bb {640,640,3,3,3,3}
0x4bc {1522,48,18,3,3}
0x4bd {17,17,5,5,3,3}
0x4be {82,82,10,10,2,2}
0x4bf {2036,90,18,6,1,1,1}
0x4c1 {2036,50,16}
0x4c2 {10,10,10}
0x4c3 {1012,1012,8,8}
0x4c5 {751,751,4,4}
0x4c6 {330,330,6,6}
0x4c7 {2036,68,6,4,1}
0x4c9 {94,94,5,5}
0x4ca {1011,1011,7,7}
0x4cb {1522,56,17,3,3}
0x4cc {13,13,4,4}
0x4cd {1942,58,18,7,3}
0x4ce {1894,61,6,3,3}
0x4cf {193,193,7,7,1,1}
0x4d1 {237,237,5,5}
0x4d2 {1012,1012,14,14}
0x4d3 {346,74,19,3,3}
0x4d5 {2036,26,9,4,3}
0x4d6 {2036,86,8,4,3}
0x4d7 {4,4,4,4,4,4}
0x4d9 {751,39,19,7,3}
0x4da {1894,76,10,6,3}
0x4db {1011,1011,8,8,2,2}
0x4dc {2036,19,14,7,3}
0x4dd {20,20,20,20,2,2}
0x4de {73,73,6,6,3,3}
0x4df {1774,95,14,4,1,1,1}
0x4e1 {40,40,8,8}
0x4e2 {493,493,7,7}
0x4e3 {2036,100,4,4,1}
0x4e5 {199,27,5,3,3}
0x4e6 {751,75,12,3,3}
0x4e7 {115,115,9,9,1,1}
0x4e9 {624,624,4,3,3}
0x4ea {584,69,18,3,2}
0x4eb {1012,1012,6,6,3,3}
0x4ed {329,329,12,12,2,2}
0x4ee {878,878,3,3,3,3}
0x4ef {454,74,19,5,1,1,1}
0x4f1 {1942,12,12,4,1}
0x4f2 {2036,78,11,4,4}
0x4f3 {73,73,7,7,1,1}
0x4f5 {1012,1012,6,6,4,4}
0x4f6 {299,299,5,5,3,3}
0x4f7 {78,78,15,4,1,1,1}
0x4f9 {1011,1011,8,8,1,1}
0x4fa {244,244,5,5,2,2}
0x4fb {2036,30,6,5,1,1,1}
0x4fc {49,49,6,6,1,1}
0x4fd {52,52,5,5,1,1,1}
0x4fe {640,38,16,6,1,1,1}
0x4ff {1012,1012,1,1,1,1,1,1}
0x501 {878,878}
0x502 {25,25}
0x503 {2036,28,12}
0x505 {1522,45,19}
0x506 {624,624,13}
0x507 {135,135,6,6}
0x509 {2036,36,8}
0x50a {2036,21,2}
0x50b {49,49,10,10}
0x50d {497,497,7,7}
0x50e {20,20,20,20}
0x50f {1774,58,14,8,1}
0x511 {1894,52,18}
0x512 {1774,60,17}
0x513 {329,329,6,6}
0x515 {20,20,20,20}
0x516 {31,31,4,4}
0x517 {1522,77,10,4,2}
0x519 {199,199,9,9}
0x51a {1012,1012,10,10}
0x51b {584,22,5,5,4}
0x51d {1942,44,7,5,4}
0x51e {751,57,9,4,2}
0x51f {1012,1012,11,11,1,1}
0x521 {751,45,14}
0x523 {199,199,5,5}
0x525 {135,135,6,6}
0x526 {244,244,13,13}
0x527 {624,624,15,6,5}
0x529 {330,330,4,4}
0x52a {1011,1011,2,2}
0x52b {1942,63,18,3,2}
0x52d {1894,77,9,9,3}
0x52e {1942,61,15,6,2}
0x52f {157,157,7,7,2,2}
0x531 {1009,1009,4,4}
0x532 {22,22,22,22}
0x533 {208,33,16,6,3}
0x535 {206,206,5,5,3}
0x536 {2036,64,6,4,3}
0x537 {1012,1012,5,5,4,4}
0x539 {1942,97,13,9,3}
0x53a {454,59,13,3,2}
0x53b {1011,1011,8,8,3,3}
0x53d {244,244,15,15,4,4}
0x53e {409,409,7,7,2,2}
0x53f {2036,82,15,6,1,1,1}
0x541 {108,108,13}
0x543 {751,751,6,6}
0x545 {1012,1012,10,10}
0x546 {1009,1009,9,9}
0x547 {94,14,11,4,2}
0x549 {493,493,15,15}
0x54a {31,31,2,2}
0x54b {268,10,7,3,2}
0x54d {1522,8,8,6,3}
0x54e {2036,9,9,3,2}
0x54f {20,20,20,20,2,2}
0x551 {244,244,16,16}
0x553 {2036,92,9,8,2}
0x555 {2036,22,2,2,2}
0x556 {1522,44,2,2,2}
0x557 {857,857,2,2,2,2}
0x559 {2036,85,3,3,3}
0x55a {2036,71,2,2,2}
0x55b {94,94,9,9,2,2}
0x55d {115,115,5,5,2,2}
0x55e {304,304,2,2,2,2}
0x55f {751,47,2,2,2,2,1}
0x561 {919,919,9,9}
0x563 {640,46,9,8,4}
0x565 {624,624,12,3,3}
0x566 {423,49,11,5,3}
0x567 {244,244,6,6,3,3}
0x569 {73,9,9,9,3}
0x56b {497,497,13,13,2,2}
0x56d {878,878,2,2,2,2}
0x56e {751,751,6,6,2,2}
0x56f {2036,13,13,5,2,2,1}
0x571 {12,12,12,12,12}
0x573 {878,878,3,3,3,3}
0x575 {49,49,7,7,2,2}
0x576 {1012,1012,5,5,2,2}
0x577 {2036,37,6,3,2,2,1}
0x579 {330,330,9,9,3,3}
0x57a {29,29,2,2,2,2}
0x57b {52,52,13,3,2,2,1}
0x57d {2036,26,14,5,2,2,1}
0x57e {346,74,2,2,2,2,1}
0x57f {1011,1011,2,2,1,1,1,1}
0x581 {2036,90,12}
0x583 {1012,1012,17,17}
0x585 {45,45,4,4}
0x586 {20,20,20,20}
0x587 {1522,108,8,8,1}
0x589 {31,31,4,4}
0x58b {1942,48,4,3,3}
0x58d {346,74,21,2,2}
0x58e {52,52,4,4,4}
0x58f {919,919,9,9,1,1}
0x591 {1011,1011,6,6}
0x593 {199,13,7,3,3}
0x595 {1522,48,19,3,3}
0x596 {1894,11,11,9,3}
0x597 {878,878,3,3,3,3}
0x599 {2036,106,3,3,3}
0x59b {241,241,5,5,2,2}
0x59d {304,304,4,4,2,2}
0x59e {1011,1011,11,11,4,4}
0x59f {2036,28,12,5,1,1,1}
0x5a1 {1012,1012,12,12}
0x5a3 {199,199,9,5,4}
0x5a5 {2036,77,4,4,3}
0x5a7 {497,497,7,7,4,4}
0x5a9 {423,5,5,5,3}
0x5ab {330,330,17,17,2,2}
0x5ad {751,751,2,2,2,2}
0x5ae {878,878,11,11,2,2}
0x5af {2036,57,24,4,2,2,1}
0x5b1 {1522,60,12,2,2}
0x5b3 {135,135,10,10,2,2}
0x5b5 {304,304,2,2,2,2}
0x5b6 {13,13,2,2,2,2}
0x5b7 {2036,44,15,2,2,2,1}
0x5b9 {857,857,6,6,2,2}
0x5bb {1942,36,8,2,2,2,1}
0x5bd {1894,16,16,2,2,2,1}
0x5be {2036,27,22,9,2,2,1}
0x5bf {640,640,9,9,1,1,1,1}
0x5c1 {361,361,9,9}
0x5c3 {2036,82,14,3,1}
0x5c5 {2036,12,4,3,3}
0x5c7 {82,82,7,7,1,1}
0x5c9 {2036,98,19,3,3}
0x5cb {3,3,3,3,3,3}
0x5cd {1012,1012,10,10,2,2}
0x5ce {57,57,8,8,3,3}
0x5cf {1522,42,19,3,1,1,1}
0x5d1 {1774,98,13,8,4}
0x5d3 {244,244,4,4,3,3}
0x5d5 {1011,1011,7,7,2,2}
0x5d7 {2036,28,26,3,2,2,1}
0x5d9 {34,34,7,7,2,2}
0x5db {2036,132,16,2,2,2,1}
0x5dd {73,9,8,2,2,2,1}
0x5de {2036,11,11,8,2,2,1}
0x5df {49,49,6,6,1,1,1,1}
0x5e1 {624,624,14,7,1}
0x5e3 {493,493,5,5,1,1}
0x5e5 {640,640,3,3,3,3}
0x5e7 {1774,92,16,3,1,1,1}
0x5e9 {1011,1011,8,8,4,4}
0x5eb {454,24,10,3,2,2,1}
0x5ed {2036,22,22,2,2,2,1}
0x5ef {1012,1012,7,7,1,1,1,1}
0x5f1 {878,878,14,14,1,1}
0x5f3 {2036,70,10,3,1,1,1}
0x5f5 {640,13,13,8,2,2,1}
0x5f7 {175,175,9,9,1,1,1,1}
0x5f9 {454,74,19,5,1,1,1}
0x5fb {330,330,6,6,1,1,1,1}
0x5fd {329,329,11,11,1,1,1,1}
0x5fe {19,19,2,2,1,1,1,1}
0x5ff {584,48,1,1,1,1,1,1,1}
0x601 {9,9}
0x603 {1894,76,1}
0x605 {2036,32,21}
0x607 {31,31,1,1}
0x609 {52,52,17}
0x60b {1011,1011,9,9}
0x60d {1012,1012,2,2}
0x60f {2036,88,1,1,1}
0x611 {640,38,16}
0x613 {330,330,9,9}
0x615 {751,751,9,9}
0x617 {1894,62,17,8,1}
0x619 {51,51,3,3}
0x61b {1522,119,14,2,1}
0x61d {584,60,21,2,1}
0x61f {45,45,1,1,1,1}
0x623 {241,241,7,7}
0x625 {878,878,11,11}
0x627 {268,31,13,4,1}
0x629 {115,115,4,4}
0x62b {2036,53,17,5,5}
0x62d {751,27,7,2,2}
0x62f {82,82,7,7,1,1}
0x631 {4,4,4,4}
0x633 {206,206,10,10,1}
0x635 {2036,62,11,2,2}
0x637 {1011,1011,4,4,1,1}
0x639 {2036,62,18,6,1}
0x63b {1012,1012,8,8,1,1}
0x63d {497,497,4,4,1,1}
0x63f {454,454,1,1,1,1,1}
0x643 {304,304,8,8}
0x645 {1009,1009,14,14}
0x647 {584,54,11,4,1}
0x649 {20,20,20,20}
0x64b {2036,54,12,3,3}
0x64d {2036,131,6,6,3}
0x64f {751,751,5,5,1,1}
0x653 {361,45,19,5,3}
0x655 {1894,96,3,3,3}
0x657 {1012,1012,5,5,3,3}
0x659 {2036,122,3,3,3}
0x65b {409,409,6,6,2,2}
0x65d {244,244,6,6,2,2}
0x65f {2036,18,15,5,1,1,1}
0x663 {2036,38,12,7,1}
0x665 {1522,15,3,3,3}
0x667 {49,49,3,3,1,1}
0x66b {640,640,13,13,2,2}
0x66d {1011,1011,2,2,2,2}
0x66f {1774,79,9,9,1,1,1}
0x673 {1011,1011,5,5,1,1}
0x675 {878,878,9,9,2,2}
0x677 {1522,72,7,7,1,1,1}
0x679 {13,13,3,3,1,1}
0x67b {2036,20,14,5,1,1,1}
0x67d {94,94,11,5,1,1,1}
0x67f {51,51,1,1,1,1,1,1}
0x683 {115,115,12,12}
0x685 {49,49,6,6}
0x687 {2036,83,12,8,1}
0x68b {52,52,4,4,4}
0x68d {1942,42,5,2,2}
0x68f {304,304,7,7,1,1}
0x693 {2036,32,6,3,3}
0x695 {423,35,7,5,3}
0x697 {361,361,10,10,4,4}
0x69b {330,330,12,12,2,2}
0x69d {919,919,13,13,2,2}
0x69f {1942,116,11,6,1,1,1}
0x6a3 {2036,68,20,5,4}
0x6a7 {1012,1012,7,7,3,3}
0x6ab {1009,1009,12,12,2,2}
0x6ad {330,330,2,2,2,2}
0x6af {199,39,11,4,2,2,1}
0x6b3 {40,40,5,5,2,2}
0x6b5 {61,61,2,2,2,2}
0x6b7 {2036,42,8,2,2,2,1}
0x6bb {624,624,9,2,2,2,1}
0x6bd {1522,50,9,2,2,2,1}
0x6bf {31,31,11,11,1,1,1,1}
0x6c3 {454,59,7,2,1}
0x6c7 {299,299,9,9,1,1}
0x6cb {94,94,9,9,2,2}
0x6cd {73,73,2,2,2,2}
0x6cf {2036,96,18,5,1,1,1}
0x6d3 {237,237,8,8,2,2}
0x6d7 {346,74,10,2,2,2,1}
0x6db {1774,2,2,2,2,2,1}
0x6dd {2036,2,2,2,2,2,1}
0x6df {244,244,9,9,1,1,1,1}
0x6e3 {878,878,4,4,1,1}
0x6e7 {208,6,6,6,1,1,1}
0x6eb {2036,37,20,2,2,2,1}
0x6ef {1009,1009,14,14,1,1,1,1}
0x6f3 {2036,15,15,7,1,1,1}
0x6f7 {878,878,4,4,1,1,1,1}
0x6fb {175,175,7,7,1,1,1,1}
0x6fd {22,22,22,22,1,1,1,1}
0x6ff {78,78,1,1,1,1,1,1,1}
0x703 {7,7,1,1}
0x707 {1942,138,1,1,1}
0x70b {423,27,11,3,1}
0x70f {497,497,1,1,1,1}
0x713 {2036,60,4,4,1}
0x717 {1012,1012,11,11,1,1}
0x71b {1011,1011,4,4,1,1}
0x71f {10,10,1,1,1,1,1}
0x727 {199,199,11,11,1,1}
0x72b {878,878,3,3,3,3}
0x72f {2036,28,11,3,1,1,1}
0x733 {57,57,8,8,1,1}
0x737 {624,624,14,5,1,1,1}
0x73b {1522,41,7,3,1,1,1}
0x73f {304,304,1,1,1,1,1,1}
0x747 {1012,1012,12,12,1,1}
0x74b {109,109,6,6,3,3}
0x74f {2036,47,21,3,1,1,1}
0x757 {751,45,14,7,2,2,1}
0x75b {1894,59,15,2,2,2,1}
0x75f {1011,1011,6,6,1,1,1,1}
0x767 {2036,71,10,7,1,1,1}
0x76f {244,244,7,7,1,1,1,1}
0x777 {857,857,5,5,1,1,1,1}
0x77b {20,20,20,20,1,1,1,1}
0x77f {1774,48,1,1,1,1,1,1,1}
0x787 {5,5,1,1,1,1}
0x78f {1522,95,1,1,1,1,1}
0x797 {584,44,13,3,1,1,1}
0x79f {51,51,1,1,1,1,1,1}
0x7af {1011,1011,10,10,1,1,1,1}
0x7b7 {40,40,9,9,1,1,1,1}
0x7bf {1894,115,1,1,1,1,1,1,1}
0x7cf {24,24,1,1,1,1,1,1}
0x7df {1942,48,1,1,1,1,1,1,1}
0x7ff {1,1,1,1,1,1,1,1,1,1}
