0x200 {}
0x201 {879}
0x202 {32}
0x203 {455,455}
0x204 {1013}
0x205 {362,362}
0x206 {501,501}
0x207 {331,38,1}
0x208 {52}
0x209 {455,455}
0x20a {18,18}
0x20b {41,24,9}
0x20c {371,371}
0x20d {1013,29,13}
0x20e {331,9,9}
0x20f {424,424,1,1}
0x210 {5}
0x211 {500,500}
0x212 {501,501}
0x213 {1013,39,9}
0x214 {498,498}
0x215 {879,38,15}
0x216 {1013,45,9}
0x217 {74,74,8,8}
0x218 {53,53}
0x219 {245,33,17}
0x21a {83,14,8}
0x21b {238,238,6,6}
0x21c {879,31,12}
0x21d {501,501,7,7}
0x21e {116,116,8,8}
0x21f {305,305,1,1,1}
0x221 {95,95}
0x222 {20,20}
0x223 {331,45,10}
0x224 {501,501}
0x225 {35,35,8}
0x226 {641,31,14}
0x227 {498,498,4,4}
0x228 {14,14}
0x229 {331,65,10}
0x22a {52,6,2}
0x22b {501,501,7,7}
0x22c {879,27,10}
0x22d {424,424,6,6}
0x22e {501,501,6,6}
0x22f {245,64,10,4,1}
0x231 {331,58,5}
0x232 {1013,55,6}
0x233 {32,32,5,5}
0x234 {245,28,7}
0x235 {501,501,9,9}
0x236 {410,410,7,7}
0x237 {1013,13,12,4,1}
0x238 {21,21,21}
0x239 {242,242,6,6}
0x23a {371,371,6,6}
0x23b {95,95,6,6,1}
0x23c {500,500,4,4}
0x23d {32,18,5,4,1}
0x23e {305,305,9,4,1}
0x23f {501,501,1,1,1,1}
0x241 {498,498}
0x242 {145,145}
0x243 {116,6,6}
0x244 {32,32}
0x245 {1013,30,11}
0x246 {95,60,10}
0x247 {501,501,10,10}
0x249 {879,49,3}
0x24a {245,34,10}
0x24b {160,160,3,3}
0x24c {331,68,3}
0x24d {371,371,3,3}
0x24e {238,238,3,3}
0x24f {200,14,8,4,1}
0x251 {245,13,13}
0x252 {879,58,5}
0x253 {18,18,6,6}
0x254 {23,12,12}
0x255 {160,160,5,5}
0x256 {176,176,8,8}
0x257 {331,26,7,3,2}
0x259 {53,53,6,6}
0x25a {500,500,5,5}
0x25b {21,21,21,3,3}
0x25c {455,455,3,3}
0x25d {305,305,5,3,3}
0x25e {879,38,5,5,2}
0x25f {50,50,6,6,1,1}
0x261 {21,21,21}
0x262 {1013,43,8}
0x263 {130,130,6,6}
0x265 {501,501,6,6}
0x266 {500,500,11,11}
0x267 {641,31,12,4,1}
0x269 {20,20,4,4}
0x26a {11,11,11,11}
0x26b {1013,4,4,4,4}
0x26c {26,26,3,3}
0x26d {305,30,3,2,2}
0x26e {41,24,6,3,3}
0x26f {501,501,4,4,1,1}
0x271 {63,63,7,7}
0x272 {362,362,8,8}
0x273 {1013,25,15,3,1}
0x275 {641,24,4,4,4}
0x276 {331,9,9,3,3}
0x277 {500,500,7,7,1,1}
0x279 {1013,51,11,4,1}
0x27a {305,24,8,3,2}
0x27b {371,371,5,5,1,1}
0x27c {50,50,7,6,1}
0x27d {46,46,5,5,1,1}
0x27e {53,53,6,6,1,1}
0x27f {1013,55,1,1,1,1,1}
0x281 {63,63}
0x282 {6,6}
0x283 {879,50,13}
0x285 {83,11,8}
0x286 {1013,39,13}
0x287 {116,116,6,6}
0x289 {245,51,7}
0x28a {52,4,2}
0x28b {53,53,9,9}
0x28d {498,498,8,8}
0x28e {95,95,12,12}
0x28f {331,19,10,4,1}
0x291 {1013,27,6}
0x292 {41,41,10}
0x293 {74,74,6,6}
0x295 {176,176,10,10}
0x296 {424,424,6,6}
0x297 {305,21,11,3,2}
0x299 {424,424,3,3}
0x29a {501,501,8,8}
0x29b {5,5,5,5,5}
0x29d {879,24,4,4,4}
0x29e {1013,7,7,3,2}
0x29f {501,501,6,6,1,1}
0x2a1 {1013,39,12}
0x2a3 {371,371,6,6}
0x2a5 {20,20,6,6}
0x2a6 {501,501,7,7}
0x2a7 {879,15,11,4,2}
0x2a9 {501,501,3,3}
0x2aa {2,2,2,2}
