0x800 {}
0x801 {3243}
0x802 {114}
0x803 {583,583}
0x804 {33}
0x805 {2034,2034}
0x806 {77,77}
0x807 {303,28,1}
0x808 {16}
0x809 {207,207}
0x80a {50,50}
0x80b {303,43,11}
0x80c {1773,1773}
0x80d {243,243,16}
0x80e {1011,77,12}
0x80f {2032,2032,1,1}
0x810 {807}
0x811 {1004,1004}
0x812 {453,453}
0x813 {3925,58,31}
0x814 {618,618}
0x815 {1290,26,26}
0x816 {499,14,14}
0x817 {2035,2035,14,14}
0x818 {1893,1893}
0x819 {807,66,19}
0x81a {183,40,30}
0x81b {1290,1290,8,8}
0x81c {1011,119,26}
0x81d {2035,2035,17,17}
0x81e {72,72,11,11}
0x81f {1353,133,1,1,1}
0x820 {6}
0x821 {1893,1893}
0x822 {44,44}
0x823 {1011,86,11}
0x824 {9,9}
0x825 {3925,52,11}
0x826 {807,66,10}
0x827 {2034,2034,10,10}
0x828 {50,50}
0x829 {4083,95,16}
0x82a {18,8,2}
0x82b {2035,2035,11,11}
0x82c {73,73,9}
0x82d {1512,1512,18,18}
0x82e {1941,1941,10,10}
0x82f {51,51,11,11,1}
0x830 {1941,1941}
0x831 {1011,94,21}
0x832 {3243,117,14}
0x833 {48,48,7,7}
0x834 {4083,81,9}
0x835 {1773,1773,13,13}
0x836 {498,498,23,23}
0x837 {3925,16,16,13,1}
0x838 {2655,49,23}
0x839 {1766,1766,9,9}
0x83a {2035,2035,14,14}
0x83b {183,40,13,6,1}
0x83c {2032,2032,15,15}
0x83d {4083,68,21,8,1}
0x83e {4083,22,15,15,1}
0x83f {750,750,1,1,1,1}
0x841 {114,114}
0x842 {2035,2035}
0x843 {51,15,12}
0x844 {1004,1004}
0x845 {443,183,13}
0x846 {2655,80,25}
0x847 {1773,1773,13,13}
0x848 {1521,1521}
0x849 {3925,103,16}
0x84a {499,91,11}
0x84b {1848,1848,8,8}
0x84c {4083,52,15}
0x84d {422,422,14,14}
0x84e {618,618,9,9}
0x84f {303,303,13,5,1}
0x850 {58,58}
0x851 {807,66,13}
0x852 {573,106,5}
0x853 {1521,1521,18,18}
0x854 {498,34,31}
0x855 {192,192,14,14}
0x856 {2035,2035,17,17}
0x857 {243,56,11,5,2}
0x858 {243,243,21}
0x859 {2035,2035,10,10}
0x85a {1512,1512,20,20}
0x85b {499,14,14,8,5}
0x85c {2035,2035,20,20}
0x85d {2655,22,16,5,5}
0x85e {3925,51,5,5,2}
0x85f {50,50,20,20,1,1}
0x861 {499,71,6}
0x862 {1011,53,7}
0x863 {2034,2034,6,6}
0x864 {499,154,9}
0x865 {453,453,18,18}
0x866 {1008,1008,18,18}
0x867 {261,55,26,6,1}
0x868 {4083,150,12}
0x869 {240,240,11,11}
0x86a {1773,1773,8,8}
0x86b {72,44,6,6,6}
0x86c {498,498,14,14}
0x86d {243,243,20,2,2}
0x86e {243,243,8,5,5}
0x86f {2035,2035,17,17,1,1}
0x870 {81,81,22}
0x871 {623,623,16,16}
0x872 {174,174,9,9}
0x873 {30,30,16,10,1}
0x874 {2035,2035,10,10}
0x875 {4083,19,19,7,6}
0x876 {1353,134,7,7,5}
0x877 {156,156,6,6,1,1}
0x878 {2032,2032,14,14}
0x879 {1011,52,17,8,1}
0x87a {3925,25,22,5,2}
0x87b {2035,2035,23,23,1,1}
0x87c {3243,57,23,5,1}
0x87d {670,670,7,7,1,1}
0x87e {198,198,10,10,1,1}
0x87f {105,66,1,1,1,1,1}
0x881 {639,639}
0x882 {30,30}
0x883 {4083,113,17}
0x884 {1941,1941}
0x885 {1011,59,12}
0x886 {243,158,12}
0x887 {280,280,5,5}
0x888 {4,4}
0x889 {1073,1073,4}
0x88a {30,6,4}
0x88b {1521,1521,7,7}
0x88c {303,73,4}
0x88d {1766,1766,11,11}
0x88e {2035,2035,11,11}
0x88f {4083,79,23,5,1}
0x891 {4083,73,27}
0x892 {3925,58,17}
0x893 {174,174,15,15}
0x894 {499,54,10}
0x895 {2035,2035,5,5}
0x896 {608,608,12,12}
0x897 {1290,56,16,4,4}
0x898 {261,70,4}
0x899 {240,240,4,4}
0x89a {583,583,10,10}
0x89b {807,58,19,4,4}
0x89c {2034,2034,20,20}
0x89d {4083,123,22,10,4}
0x89e {1011,65,25,9,5}
0x89f {93,93,10,10,1,1}
0x8a1 {1011,47,16}
0x8a2 {114,4,4}
0x8a3 {1773,1773,15,15}
0x8a4 {3925,99,9}
0x8a5 {240,240,8,8}
0x8a6 {207,207,12,12}
0x8a7 {4083,79,15,4,4}
0x8a8 {18,18,4}
0x8a9 {2035,2035,23,23}
0x8aa {48,48,2,2}
0x8ab {4083,92,11,11,2}
0x8ac {2035,2035,9,9}
0x8ad {243,158,6,6,6}
0x8ae {51,51,10,10,2}
0x8af {498,498,5,5,2,2}
0x8b1 {670,670,8,8}
0x8b2 {267,267,12,12}
0x8b3 {2655,82,15,5,4}
0x8b4 {408,408,12,12}
0x8b5 {4083,73,18,7,4}
0x8b6 {93,16,12,4,3}
0x8b7 {623,623,14,14,4,4}
0x8b8 {583,583,12,12}
0x8b9 {3243,137,12,6,4}
0x8ba {81,50,9,9,2}
0x8bb {1004,1004,19,19,3,3}
0x8bc {79,27,21,9,5}
0x8bd {360,360,12,12,5,5}
0x8be {2034,2034,6,6,2,2}
0x8bf {3925,27,17,7,1,1,1}
0x8c1 {443,183,25}
0x8c2 {4083,55,22}
0x8c3 {360,360,8,8}
0x8c4 {81,81,22}
0x8c5 {77,77,14,14}
0x8c6 {1766,1766,17,17}
0x8c7 {114,114,18,8,1}
0x8c9 {618,618,21,21}
0x8ca {1521,1521,6,6}
0x8cb {1073,1073,13,5,4}
0x8cc {856,856,4,4}
0x8cd {81,50,6,6,4}
0x8ce {3925,47,17,5,4}
0x8cf {2035,2035,5,5,1,1}
0x8d1 {30,30,5,5}
0x8d2 {2032,2032,18,18}
0x8d3 {243,56,16,5,5}
0x8d4 {623,623,13,13}
0x8d5 {807,127,19,6,5}
0x8d6 {240,56,24,9,4}
0x8d7 {2034,2034,4,4,4,4}
0x8d8 {90,90,8,8}
0x8d9 {4083,7,7,7,4}
0x8da {499,126,7,7,6}
0x8db {2035,2035,14,14,2,2}
0x8dc {499,66,26,10,4}
0x8dd {156,156,17,17,2,2}
0x8de {2035,2035,7,7,6,6}
0x8df {1011,28,28,5,1,1,1}
0x8e1 {2032,2032,16,16}
0x8e2 {1893,1893,16,16}
0x8e3 {3925,119,4,4,1}
0x8e4 {2034,2034,13,13}
0x8e5 {499,49,22,10,5}
0x8e6 {243,158,11,8,4}
0x8e7 {1521,1521,9,9,1,1}
0x8e9 {498,14,14,5,4}
0x8ea {243,243,14,7,2}
0x8eb {1766,1766,15,15,5,5}
0x8ec {4083,46,10,4,4}
0x8ed {1941,1941,14,14,2,2}
0x8ee {732,732,15,15,3,3}
0x8ef {4083,35,16,5,1,1,1}
0x8f1 {261,85,27,8,1}
0x8f2 {2655,17,16,4,4}
0x8f3 {2035,2035,25,25,1,1}
0x8f4 {51,15,15,4,4}
0x8f5 {18,18,4,4,4,4}
0x8f6 {345,345,9,9,4,4}
0x8f7 {1353,148,25,11,1,1,1}
0x8f8 {53,53,53,10,1}
0x8f9 {1941,1941,11,11,1,1}
0x8fa {2034,2034,20,20,2,2}
0x8fb {33,33,6,6,1,1,1}
0x8fc {750,750,13,13,1,1}
0x8fd {499,154,27,11,1,1,1}
0x8fe {3925,113,15,7,1,1,1}
0x8ff {856,856,1,1,1,1,1,1}
0x901 {856,856}
0x902 {1893,1893}
0x903 {2655,70,7}
0x904 {6,6}
0x905 {73,73,19}
0x906 {4083,43,18}
0x907 {2035,2035,11,11}
0x909 {443,183,19}
0x90a {2655,74,16}
0x90b {2034,2034,23,23}
0x90c {807,66,26}
0x90d {207,207,6,6}
0x90e {240,240,13,13}
0x90f {243,243,20,9,1}
0x911 {48,28,12}
0x912 {1353,32,32}
0x913 {2035,2035,13,13}
0x914 {499,34,22}
0x915 {2034,2034,23,23}
0x916 {453,453,6,6}
0x917 {499,126,7,4,4}
0x919 {1773,1773,18,18}
0x91a {618,618,15,15}
0x91b {4083,52,17,9,4}
0x91c {422,422,10,10}
0x91d {93,16,16,7,4}
0x91e {4083,48,30,4,4}
0x91f {1512,1512,19,19,1,1}
0x921 {1353,47,9}
0x922 {303,28,9}
0x923 {492,492,4,4}
0x924 {3,3,3}
0x925 {2035,2035,3,3}
0x926 {1766,1766,3,3}
0x927 {81,81,22,4,3}
0x929 {498,498,19,19}
0x92a {2035,2035,11,11}
0x92b {3925,93,23,3,3}
0x92c {2032,2032,3,3}
0x92d {51,51,3,3,3}
0x92e {498,100,10,5,3}
0x92f {639,639,8,8,3,3}
0x931 {2035,2035,18,18}
0x932 {240,240,19,19}
0x933 {4083,48,14,10,5}
0x934 {2035,2035,3,3}
0x935 {1011,104,11,4,3}
0x936 {1353,31,3,3,3}
0x937 {198,198,4,4,3,3}
0x939 {4083,41,17,6,6}
0x93a {499,157,8,3,3}
0x93b {198,198,8,8,3,3}
0x93c {1011,73,16,8,3}
0x93d {1848,1848,5,5,3,3}
0x93e {2035,2035,19,19,3,3}
0x93f {4083,30,15,7,1,1,1}
0x941 {3925,109,7}
0x942 {1011,20,20}
0x943 {2035,2035,9,9}
0x945 {156,156,6,6}
0x946 {2035,2035,17,17}
0x947 {243,243,6,6,6}
0x949 {2035,2035,8,8}
0x94a {2032,2032,20,20}
0x94b {1011,56,11,3,3}
0x94c {1521,1521,6,6}
0x94d {51,30,24,6,3}
0x94e {243,158,17,3,3}
0x94f {1766,1766,16,16,5,5}
0x951 {50,50,20,20}
0x952 {205,205,9,9}
0x953 {3925,72,13,7,4}
0x954 {56,56,9,9}
0x955 {51,51,51,5,2}
0x956 {3925,49,25,7,2}
0x957 {207,207,15,15,2,2}
0x959 {198,38,10,5,3}
0x95a {807,95,25,10,2}
0x95b {280,280,9,9,3,3}
0x95c {4083,124,20,3,3}
0x95d {1893,1893,16,16,3,3}
0x95e {90,90,17,17,2,2}
0x95f {499,78,8,5,2,2,1}
0x961 {1521,1521,11,11}
0x962 {670,670,9,9}
0x963 {499,45,23,7,4}
0x965 {4083,38,17,3,3}
0x966 {198,198,8,5,3}
0x967 {328,328,5,5,3,3}
0x969 {51,30,6,6,3}
0x96a {3925,21,21,5,2}
0x96b {198,198,6,6,3,3}
0x96c {3925,104,3,3,3}
0x96d {2034,2034,3,3,2,2}
0x96e {2035,2035,5,5,3,3}
0x96f {498,34,27,5,3,3,1}
0x971 {499,165,25,9,5}
0x972 {243,243,11,3,3}
0x973 {498,498,3,3,3,3}
0x974 {21,10,10,10,3}
0x975 {345,345,18,18,3,3}
0x976 {236,236,7,7,3,3}
0x977 {3925,55,7,3,3,3,1}
0x979 {608,608,10,10,3,3}
0x97a {360,360,18,18,2,2}
0x97b {243,56,15,3,3,3,1}
0x97c {1766,1766,11,11,3,3}
0x97d {1011,76,27,12,3,3,1}
0x97e {499,137,11,10,2,2,1}
0x97f {2035,2035,8,8,1,1,1,1}
0x981 {93,93,14}
0x982 {499,91,15}
0x983 {670,670,9,9}
0x985 {2035,2035,5,5}
0x986 {360,360,6,6}
0x987 {4083,159,17,8,1}
0x989 {108,108,4,4}
0x98a {2035,2035,13,13}
0x98b {499,48,23,4,4}
0x98c {50,50,20,20}
0x98d {573,104,13,8,5}
0x98e {4083,59,6,6,4}
0x98f {51,51,12,12,1,1}
0x991 {1893,1893,17,17}
0x992 {2034,2034,7,7}
0x993 {498,74,24,8,8}
0x995 {114,114,8,8,3}
0x996 {114,18,11,6,3}
0x997 {2032,2032,7,7,3,3}
0x999 {807,39,3,3,3}
0x99a {303,113,19,10,3}
0x99b {1941,1941,7,7,4,4}
0x99c {4083,81,27,6,4}
0x99d {1290,1290,16,16,4,4}
0x99e {623,623,8,8,3,3}
0x99f {4083,97,19,6,1,1,1}
0x9a1 {1766,1766,13,13}
0x9a2 {1521,1521,13,13}
0x9a3 {243,158,11,7,5}
0x9a5 {81,81,22,11,3}
0x9a6 {4083,52,19,3,3}
0x9a7 {583,583,4,4,3,3}
0x9a9 {3925,157,22,4,3}
0x9aa {3925,13,13,9,2}
0x9ab {240,240,4,4,4,4}
0x9ac {72,72,7,7,3}
0x9ad {77,77,19,19,2,2}
0x9ae {670,670,11,11,3,3}
0x9af {48,4,4,4,4,4,1}
0x9b1 {499,101,12,12,5}
0x9b2 {1353,90,5,5,3}
0x9b3 {2035,2035,15,15,6,6}
0x9b5 {2032,2032,10,10,2,2}
0x9b6 {1773,1773,3,3,2,2}
0x9b7 {1011,52,9,4,3,2,1}
0x9b9 {750,750,18,18,4,4}
0x9ba {828,828,5,5,3,3}
0x9bb {499,25,24,12,4,2,1}
0x9bc {1893,1893,14,14,3,3}
0x9bd {3925,70,15,12,3,2,1}
0x9be {1011,112,21,5,3,3,1}
0x9bf {198,198,13,13,1,1,1,1}
0x9c1 {2035,2035,9,9}
0x9c2 {2032,2032,11,11}
0x9c3 {243,243,22,12,1}
0x9c5 {3243,119,4,4,4}
0x9c6 {3925,54,9,7,5}
0x9c7 {48,48,9,9,1,1}
0x9c9 {2655,73,16,5,5}
0x9ca {51,51,51,6,5}
0x9cb {1941,1941,3,3,3,3}
0x9cd {1008,1008,13,13,5,5}
0x9ce {51,51,3,3,3,3}
0x9cf {573,11,11,11,1,1,1}
0x9d1 {4083,37,27,5,4}
0x9d2 {498,152,20,3,3}
0x9d3 {16,16,3,3,3,3}
0x9d5 {1521,1521,16,16,4,4}
0x9d6 {198,198,8,8,3,3}
0x9d7 {1353,31,19,4,4,3,1}
0x9d9 {2034,2034,9,9,4,4}
0x9da {2035,2035,11,11,3,3}
0x9db {1011,65,11,7,4,2,1}
0x9dc {108,108,10,10,3,3}
0x9dd {807,70,16,8,4,2,1}
0x9de {3243,17,17,3,3,3,1}
0x9df {267,267,6,6,1,1,1,1}
0x9e1 {443,183,13,7,1}
0x9e2 {1073,1073,7,4,4}
0x9e3 {453,453,9,9,1,1}
0x9e5 {2034,2034,5,5,3,3}
0x9e6 {2035,2035,19,19,3,3}
0x9e7 {499,69,15,4,1,1,1}
0x9e9 {1773,1773,17,17,3,3}
0x9ea {1290,1290,12,12,2,2}
0x9eb {1353,21,12,4,4,3,1}
0x9ed {498,110,5,5,3,2,1}
0x9ee {1353,35,11,3,3,3,1}
0x9ef {1004,1004,18,18,1,1,1,1}
0x9f1 {1512,1512,17,17,1,1}
0x9f2 {2035,2035,16,16,4,4}
0x9f3 {3925,61,11,7,1,1,1}
0x9f5 {243,56,17,9,4,4,1}
0x9f6 {1011,136,24,5,3,3,1}
0x9f7 {1941,1941,17,17,1,1,1,1}
0x9f9 {1353,87,19,6,1,1,1}
0x9fa {443,183,16,5,2,2,1}
0x9fb {670,670,20,20,1,1,1,1}
0x9fc {51,30,30,6,1,1,1}
0x9fd {58,58,5,5,1,1,1,1}
0x9fe {1008,1008,13,13,1,1,1,1}
0x9ff {2655,116,1,1,1,1,1,1,1}
0xa01 {1521,1521}
0xa02 {8,8}
0xa03 {4083,52,19}
0xa05 {499,74,16}
0xa06 {81,81,22}
0xa07 {1766,1766,8,8}
0xa09 {443,183,23}
0xa0a {114,10,2}
0xa0b {2035,2035,11,11}
0xa0d {1848,1848,10,10}
0xa0e {2035,2035,20,20}
0xa0f {81,81,22,9,1}
0xa11 {499,70,10}
0xa12 {499,55,19}
0xa13 {732,732,8,8}
0xa15 {2035,2035,15,15}
0xa16 {2034,2034,8,8}
0xa17 {51,15,15,10,2}
0xa19 {670,670,10,10}
0xa1a {51,51,16,16}
0xa1b {4083,7,7,7,5}
0xa1d {18,18,6,6,5}
0xa1e {243,243,9,6,2}
0xa1f {107,107,12,12,1,1}
0xa21 {51,30,24}
0xa22 {12,4,4}
0xa23 {623,623,13,13}
0xa25 {90,90,14,14}
0xa26 {583,583,20,20}
0xa27 {4083,25,25,4,4}
0xa29 {77,77,15,15}
0xa2a {50,50,2,2}
0xa2b {93,93,10,10,2}
0xa2d {1353,29,7,4,4}
0xa2e {4083,140,31,11,2}
0xa2f {1848,1848,10,10,2,2}
0xa31 {856,856,4,4}
0xa32 {639,639,15,15}
0xa33 {4083,149,10,6,6}
0xa35 {573,77,19,8,5}
0xa36 {3243,7,7,4,4}
0xa37 {750,750,13,13,4,4}
0xa39 {1011,169,7,5,5}
0xa3a {4083,25,20,5,2}
0xa3b {2034,2034,15,15,5,5}
0xa3d {1773,1773,17,17,4,4}
0xa3e {1512,1512,13,13,2,2}
0xa3f {807,80,17,7,1,1,1}
0xa41 {243,158,22}
0xa43 {1766,1766,17,17}
0xa45 {1941,1941,15,15}
0xa46 {1004,1004,8,8}
0xa47 {1011,55,5,5,5}
0xa49 {72,72,6,6}
0xa4a {2035,2035,17,17}
0xa4b {243,158,23,3,3}
0xa4d {3925,63,14,6,3}
0xa4e {2655,35,21,3,3}
0xa4f {11,11,11,11,11,11}
0xa51 {2035,2035,4,4}
0xa52 {18,18,4,4}
0xa53 {4083,61,19,9,4}
0xa55 {1011,85,13,10,2}
0xa56 {4083,26,15,7,2}
0xa57 {1008,1008,8,8,2,2}
0xa59 {114,42,20,10,3}
0xa5a {1353,73,20,12,2}
0xa5b {1521,1521,11,11,3,3}
0xa5d {2034,2034,7,7,3,3}
0xa5e {2035,2035,10,10,2,2}
0xa5f {1073,1073,26,6,2,2,1}
0xa61 {618,618,10,10}
0xa63 {90,56,23,7,4}
0xa65 {30,6,6,6,3}
0xa66 {573,54,19,8,3}
0xa67 {1893,1893,17,17,3,3}
0xa69 {4083,66,19,9,3}
0xa6a {1011,43,21,7,2}
0xa6b {2032,2032,5,5,4,4}
0xa6d {51,51,12,12,2,2}
0xa6e {1766,1766,19,19,3,3}
0xa6f {443,183,12,12,5,4,1}
0xa71 {1011,112,10,9,4}
0xa72 {53,53,53,4,4}
0xa73 {1773,1773,12,12,3,3}
0xa75 {236,236,4,4,4,4}
0xa76 {750,750,6,6,3,3}
0xa77 {499,127,6,6,6,3,1}
0xa79 {1893,1893,9,9,3,3}
0xa7a {240,240,18,18,2,2}
0xa7b {3925,99,5,5,5,3,1}
0xa7d {3925,91,17,7,4,4,1}
0xa7e {243,243,14,6,2,2,1}
0xa7f {498,498,20,20,1,1,1,1}
0xa81 {3925,108,20}
0xa83 {453,453,18,18}
0xa85 {2032,2032,16,16}
0xa86 {93,93,10,10}
0xa87 {4083,87,29,10,2}
0xa89 {1773,1773,13,13}
0xa8a {12,12,2,2}
0xa8b {3925,113,13,7,2}
0xa8d {2655,77,14,6,5}
0xa8e {4083,67,21,10,2}
0xa8f {670,670,11,11,2,2}
0xa91 {498,498,8,8}
0xa93 {499,49,7,7,4}
0xa95 {243,158,9,8,2}
0xa96 {1011,20,10,10,2}
0xa97 {1941,1941,12,12,2,2}
0xa99 {243,243,3,3,3}
0xa9a {243,56,30,8,2}
0xa9b {856,856,5,5,5,5}
0xa9d {2035,2035,9,9,4,4}
0xa9e {1766,1766,16,16,2,2}
0xa9f {240,20,20,8,2,2,1}
0xaa1 {107,107,12,12}
0xaa3 {51,15,12,6,2}
0xaa5 {303,18,18,6,2}
0xaa6 {4083,14,14,11,2}
0xaa7 {408,408,15,15,2,2}
