0x8000 {}
0x8001 {239}
0x8002 {110}
0x8003 {32751,32751}
0x8004 {57321}
0x8005 {23606,23606}
0x8006 {1517,1517}
0x8007 {57321,335,1}
0x8008 {44}
0x8009 {47,47}
0x800a {238,238}
0x800b {16367,105,15}
0x800c {7145,7145}
0x800d {59039,219,47}
0x800e {19669,19669,16}
0x800f {31604,31604,1,1}
0x8010 {16367}
0x8011 {4324,4324}
0x8012 {1007,1007}
0x8013 {57321,214,52}
0x8014 {10214,10214}
0x8015 {21829,667,88}
0x8016 {65519,551,40}
0x8017 {518,518,51,51}
0x8018 {32751,32751}
0x8019 {16367,163,33}
0x801a {57321,105,100}
0x801b {10214,10214,36,36}
0x801c {65519,392,58}
0x801d {32751,32751,47,47}
0x801e {7124,7124,31,31}
0x801f {65519,344,1,1,1}
0x8020 {418}
0x8021 {24557,24557}
0x8022 {68,68}
0x8023 {21829,701,55}
0x8024 {32751,32751}
0x8025 {21467,157,53}
0x8026 {5099,339,63}
0x8027 {28642,28642,47,47}
0x8028 {170,170}
0x8029 {65519,231,20}
0x802a {418,30,2}
0x802b {4079,4079,19,19}
0x802c {21467,143,35}
0x802d {4556,4556,36,36}
0x802e {1319,1319,45,45}
0x802f {5099,5099,79,41,1}
0x8030 {579,579}
0x8031 {64881,173,33}
0x8032 {64881,426,43}
0x8033 {12248,12248,58,58}
0x8034 {16367,112,31}
0x8035 {32751,32751,51,51}
0x8036 {1230,1230,52,52}
0x8037 {239,59,29,19,1}
0x8038 {63441,464,67}
0x8039 {4510,4510,33,33}
0x803a {24557,24557,26,26}
0x803b {63441,166,80,27,1}
0x803c {31988,31988,58,58}
0x803d {404,404,35,35,1}
0x803e {239,154,49,20,1}
0x803f {30689,30689,1,1,1,1}
0x8040 {63441}
0x8041 {32750,32750}
0x8042 {3239,3239}
0x8043 {2714,66,66}
0x8044 {1244,1244}
0x8045 {239,66,17}
0x8046 {13091,248,65}
0x8047 {1007,1007,51,51}
0x8048 {4665,4665}
0x8049 {57321,193,35}
0x804a {5339,325,33}
0x804b {31988,31988,27,27}
0x804c {439,439,48}
0x804d {24557,24557,44,44}
0x804e {32750,32750,54,54}
0x804f {7985,155,35,29,1}
0x8050 {10906,10906}
0x8051 {47507,343,73}
0x8052 {21467,765,22}
0x8053 {10219,10219,33,33}
0x8054 {57321,792,36}
0x8055 {7096,7096,48,48}
0x8056 {6116,6116,50,50}
0x8057 {59039,615,26,26,2}
0x8058 {42971,301,70}
0x8059 {32751,32751,39,39}
0x805a {32748,32748,43,43}
0x805b {179,36,36,18,12}
0x805c {1007,1007,55,55}
0x805d {64881,109,38,23,11}
0x805e {65519,337,81,14,2}
0x805f {3050,3050,88,88,1,1}
0x8060 {1565,1565}
0x8061 {57321,815,59}
0x8062 {59039,668,18}
0x8063 {10906,10906,49,49}
0x8064 {3053,275,65}
0x8065 {1006,1006,28,28}
0x8066 {16360,16360,20,20}
0x8067 {47507,547,25,14,1}
0x8068 {64881,82,16}
0x8069 {1844,1844,45,45}
0x806a {32751,32751,44,44}
0x806b {65519,316,62,24,10}
0x806c {28642,28642,61,61}
0x806d {569,569,19,2,2}
0x806e {42971,547,47,12,12}
0x806f {4583,4583,25,25,1,1}
0x8070 {1349,319,41}
0x8071 {30689,30689,50,50}
0x8072 {494,494,22,22}
0x8073 {2651,2651,26,17,1}
0x8074 {32369,32369,50,50}
0x8075 {341,341,22,22,14}
0x8076 {57321,260,74,25,14}
0x8077 {16364,16364,43,43,1,1}
0x8078 {28628,28628,40,40}
0x8079 {239,154,16,16,1}
0x807a {21829,257,48,13,2}
0x807b {5318,5318,58,58,1,1}
0x807c {8174,288,31,31,1}
0x807d {10906,10906,19,19,1,1}
0x807e {325,325,55,55,1,1}
0x807f {63441,591,1,1,1,1,1}
0x8080 {8}
0x8081 {4665,4665}
0x8082 {238,238}
0x8083 {4079,48,15}
0x8084 {4665,4665}
0x8085 {7985,7985,41}
0x8086 {7985,596,49}
0x8087 {24548,24548,37,37}
0x8088 {12,12}
0x8089 {16367,109,15}
0x808a {14,14,14}
0x808b {15,15,15,15}
0x808c {7145,103,13}
0x808d {28642,28642,99,99}
0x808e {24557,24557,14,14}
0x808f {1937,131,15,15,1}
0x8090 {1769,1769}
0x8091 {64881,170,69}
0x8092 {1853,1853,28}
0x8093 {314,314,32,32}
0x8094 {21829,255,41}
0x8095 {3794,3794,20,20}
0x8096 {32748,32748,34,34}
0x8097 {65519,182,66,15,14}
0x8098 {64881,180,12}
0x8099 {5192,5192,54,54}
