0x4000 {}
0x4001 {32752}
0x4002 {4584}
0x4003 {3261,3261}
0x4004 {48}
0x4005 {112,112}
0x4006 {16367,16367}
0x4007 {7146,140,1}
0x4008 {32752}
0x4009 {12267,12267}
0x400a {1938,1938}
0x400b {32752,247,14}
0x400c {2713,2713}
0x400d {1008,1008,41}
0x400e {12267,89,15}
0x400f {1938,1938,1,1}
0x4010 {20}
0x4011 {5446,5446}
0x4012 {10653,10653}
0x4013 {30690,142,34}
0x4014 {16368,16368}
0x4015 {24558,20,20}
0x4016 {32752,403,40}
0x4017 {3147,3147,45,45}
0x4018 {16367,16367}
0x4019 {1770,410,31}
0x401a {32752,356,53}
0x401b {171,171,22,22}
0x401c {24558,173,50}
0x401d {7125,7125,29,29}
0x401e {112,112,23,23}
0x401f {10220,10220,1,1,1}
0x4020 {78}
0x4021 {1005,1005}
0x4022 {5446,5446}
0x4023 {5319,79,51}
0x4024 {27,27}
0x4025 {10780,101,44}
0x4026 {30690,192,72}
0x4027 {16368,16368,18,18}
0x4028 {14314,14314}
0x4029 {1007,291,31}
0x402a {7890,181,2}
0x402b {15315,15315,50,50}
0x402c {4584,326,41}
0x402d {1350,1350,57,57}
0x402e {8173,8173,18,18}
0x402f {32752,294,38,22,1}
0x4030 {15733,15733}
0x4031 {6117,337,33}
0x4032 {30690,418,31}
0x4033 {14314,14314,18,18}
0x4034 {326,40,40}
0x4035 {615,615,44,44}
0x4036 {300,300,30,30}
0x4037 {4666,664,24,19,1}
0x4038 {24558,269,26}
0x4039 {16368,16368,42,42}
0x403a {16367,16367,32,32}
0x403b {32752,580,42,22,1}
0x403c {5446,5446,18,18}
0x403d {326,326,28,23,1}
0x403e {1070,1070,25,25,1}
0x403f {489,489,1,1,1,1}
0x4040 {32752}
0x4041 {48,48}
0x4042 {5095,5095}
0x4043 {32752,92,32}
0x4044 {112,112}
0x4045 {16,16,16}
0x4046 {24558,308,34}
0x4047 {3261,3261,16,16}
0x4048 {6117,6117}
0x4049 {32752,213,52}
0x404a {27544,84,38}
0x404b {16368,16368,60,60}
0x404c {1770,410,34}
0x404d {2271,2271,16,16}
0x404e {16368,16368,42,42}
0x404f {3795,325,53,16,1}
0x4050 {16368,16368}
0x4051 {1518,168,20}
0x4052 {32752,160,21}
0x4053 {1287,1287,33,33}
0x4054 {24558,286,55}
0x4055 {5446,5446,16,16}
0x4056 {13005,13005,23,23}
0x4057 {1350,570,16,16,2}
0x4058 {4666,121,51}
0x4059 {2713,2713,48,48}
0x405a {1005,1005,29,29}
0x405b {4080,68,32,16,11}
0x405c {14307,14307,38,38}
0x405d {7650,7650,50,16,14}
0x405e {4666,324,37,13,2}
0x405f {5100,5100,28,28,1,1}
0x4060 {15795,15795}
0x4061 {32752,254,43}
0x4062 {7146,586,52}
0x4063 {5100,5100,28,28}
0x4064 {9750,256,92}
0x4065 {1005,1005,16,16}
0x4066 {3555,3555,31,31}
0x4067 {32752,164,56,13,1}
0x4068 {4584,341,15}
0x4069 {5446,5446,36,36}
0x406a {3705,3705,25,25}
0x406b {7986,250,54,25,9}
0x406c {11796,11796,19,19}
0x406d {27544,102,28,2,2}
0x406e {32752,269,55,17,13}
0x406f {4759,4759,23,23,1,1}
0x4070 {3555,271,41}
0x4071 {15987,15987,29,29}
0x4072 {5446,5446,43,43}
0x4073 {32752,276,44,16,1}
0x4074 {16365,16365,37,37}
0x4075 {1350,570,56,10,10}
0x4076 {4584,310,30,10,10}
0x4077 {11796,11796,34,34,1,1}
0x4078 {699,699,41,41}
0x4079 {7650,310,15,15,1}
0x407a {32752,156,40,20,2}
0x407b {7125,7125,30,30,1,1}
0x407c {10220,10220,56,23,1}
0x407d {5100,5100,26,26,1,1}
0x407e {12267,12267,54,54,1,1}
0x407f {4666,544,1,1,1,1,1}
0x4081 {5255,5255}
0x4082 {1350,1350}
0x4083 {1008,1008,51}
0x4084 {2525,2525}
0x4085 {7146,182,40}
0x4086 {300,120,49}
0x4087 {5100,5100,45,45}
0x4088 {15826,15826}
0x4089 {4584,99,70}
0x408a {32752,429,13}
0x408b {405,405,7,7}
0x408c {1509,121,21}
0x408d {16368,16368,37,37}
0x408e {14307,14307,39,39}
0x408f {1008,1008,22,18,1}
0x4090 {12267,12267}
0x4091 {4080,401,56}
0x4092 {32752,273,26}
0x4093 {14314,14314,30,30}
0x4094 {10780,185,64}
0x4095 {4073,4073,12,12}
0x4096 {750,750,34,34}
0x4097 {7986,139,41,16,7}
0x4098 {1770,410,54}
0x4099 {2031,2031,31,31}
0x409a {15733,15733,20,20}
0x409b {9750,9750,12,12,8}
0x409c {14314,14314,37,37}
0x409d {32370,420,26,12,12}
0x409e {7650,280,34,10,10}
0x409f {16367,16367,52,52,1,1}
0x40a0 {16368,16368}
0x40a1 {24558,334,85}
0x40a2 {804,180,53}
0x40a3 {16367,16367,40,40}
0x40a4 {2144,2144,36}
0x40a5 {4430,4430,10,10}
0x40a6 {489,489,21,21}
0x40a7 {1008,249,41,17,9}
0x40a8 {7146,254,15}
0x40a9 {237,237,31,31}
0x40aa {1770,1770,2,2}
0x40ab {32752,213,55,10,2}
0x40ac {15315,15315,38,38}
0x40ad {30690,262,45,14,9}
0x40ae {32752,234,82,20,2}
0x40af {4080,4080,44,44,2,2}
0x40b0 {32752,87,85}
0x40b1 {16368,16368,44,44}
0x40b2 {14307,14307,46,46}
0x40b3 {3891,209,61,13,10}
0x40b4 {1518,1518,15,15}
0x40b5 {3795,131,41,15,9}
0x40b6 {32752,270,17,17,3}
0x40b7 {8173,8173,34,34,9,9}
0x40b8 {15733,15733,42,42}
0x40b9 {32370,270,24,16,10}
0x40ba {915,915,9,9,2}
0x40bb {342,342,23,23,3,3}
0x40bc {4666,394,14,10,10}
0x40bd {12267,12267,15,15,9,9}
0x40be {450,450,31,31,2,2}
0x40bf {496,496,25,25,1,1,1}
0x40c0 {97,97}
0x40c1 {4584,170,7}
0x40c2 {32752,504,31}
0x40c3 {4080,4080,28,28}
0x40c4 {7890,305,29}
0x40c5 {16367,16367,16,16}
0x40c6 {5100,5100,16,16}
0x40c7 {3795,159,27,19,1}
0x40c8 {9750,378,39}
0x40c9 {16368,16368,30,30}
0x40ca {12267,12267,51,51}
0x40cb {4080,154,49,24,8}
0x40cc {2248,2248,25,25}
0x40cd {3555,253,36,13,8}
0x40ce {1518,104,22,8,8}
0x40cf {16365,16365,30,30,1,1}
0x40d0 {32752,180,61}
0x40d1 {1845,1845,41,41}
0x40d2 {5340,5340,24,24}
0x40d3 {32752,91,40,17,8}
0x40d4 {15315,15315,31,31}
0x40d5 {32370,68,21,11,8}
0x40d6 {636,636,37,26,10}
0x40d7 {14314,14314,40,40,4,4}
